title,date,time,venue,url,description
DRÁCULA,16/10,,Cine York,https://lumiton.ar/evento/dracula-2/,"El ancestral vampiro Conde Drácula llega a Inglaterra y comienza a aprovecharse de Mina, una virtuosa joven. Lanzada en los…"
EL RESPLANDOR (THE SHINING),17/10,18:00,Cine York,https://lumiton.ar/evento/el-resplandor-the-shining-10-2/,"Jack Torrance se traslada con su mujer y su hijo de siete años al impresionante hotel Overlook, en Colorado, para…"
EL RESPLANDOR (THE SHINING),17/10,20:30,Cine York,https://lumiton.ar/evento/el-resplandor-the-shining-11/,"Jack Torrance se traslada con su mujer y su hijo de siete años al impresionante hotel Overlook, en Colorado, para…"
FRANKENSTEIN,18/10,18:00,Cine York,https://lumiton.ar/evento/frankenstein/,Un científico obsesivo crea una criatura viva con partes de cadáveres exhumados. Esta adaptación de la inmortal novela de Mary…
ESCALERA CARACOL (THE SPIRAL STAIRCASE),18/10,20:30,Cine York,https://lumiton.ar/evento/escalera-caracol-the-spiral-staircase/,"Proyección en fílmico 35 mm En 1916, un asesino en serie ataca a mujeres con aflicciones. Una noche, durante una…"
EL GABINETE DEL DR. CALIGARI,19/10,18:00,Cine York,https://lumiton.ar/evento/el-gabinete-del-dr-caligari/,La película será proyectada en fílmico 35mm y musicalizada en vivo por el ensamble musical El juego infinito. Uno de…
EL GABINETE DEL DR. CALIGARI,19/10,20:30,Cine York,https://lumiton.ar/evento/el-gabinete-del-dr-caligari-2/,La película será proyectada en fílmico 35mm y musicalizada en vivo por el ensamble musical El juego infinito. Uno de…
PSICOSIS (PSYCHO),22/10,18:00,Cine York,https://lumiton.ar/evento/psicosis-psycho-5/,"Marion Crane, una joven secretaria, tras cometer el robo de un dinero en su empresa, huye de la ciudad y,…"
PSICOSIS (PSYCHO),22/10,20:30,Cine York,https://lumiton.ar/evento/psicosis-psycho-6/,"Marion Crane, una joven secretaria, tras cometer el robo de un dinero en su empresa, huye de la ciudad y,…"
LA NOVIA DE FRANKENSTEIN,23/10,18:00,Cine York,https://lumiton.ar/evento/la-novia-de-frankenstein/,"La primera secuela del film Frankenstein, con Boris Karloff repitiendo su rol, narra los hechos ocurridos inmediatamente después del fin…"
PESADILLA EN LO PROFUNDO DE LA NOCHE (A NIGHTMARE ON ELM STREET),23/10,20:30,Cine York,https://lumiton.ar/evento/pesadilla-en-lo-profundo-de-la-noche-a-nightmare-on-elm-street/,Proyección en fílmico 35 mm Varias personas son perseguidas por un cruel asesino en serie que mata a sus víctimas…
TERROR EN LA ÓPERA,24/10,18:00,Cine York,https://lumiton.ar/evento/terror-en-la-opera-3/,"A Betty, una joven cantante de ópera, le ofrecen la oportunidad de debutar como protagonista en el Macbeth de Giuseppe…"
ROJO PROFUNDO,24/10,20:30,Cine York,https://lumiton.ar/evento/rojo-profundo-3/,"Marcus, un músico británico instalado en Roma, es testigo del brutal asesinato de una médium. Con la ayuda de Gianna,…"
DE TROYA A MALVINAS,28/10,19:00,Cine York,https://lumiton.ar/evento/de-troya-a-malvinas/,Entre los meses de diciembre de 2021 y abril de 2022 ocho Veteranos de Malvinas trabajan en el proyecto teatral…
"NADIE INQUIETÓ MÁS, NARCISO IBAÑEZ MENTA",29/10,18:00,Cine York,https://lumiton.ar/evento/nadie-inquieto-mas-narciso-ibanez-menta/,"Un tributo al gran actor asturiano Narciso Ibáñez Menta, quien fue una leyenda como protagonista de historias de terror en…"
OTRA PELÍCULA MALDITA,29/10,20:30,Cine York,https://lumiton.ar/evento/otra-pelicula-maldita/,"Historia del cine de terror argentino, desde sus inicios en 1934 hasta la actualidad. Es un camino de derrotas, calles…"
FINDE,30/10,18:00,Cine York,https://lumiton.ar/evento/finde/,"Agos y Santi (Malena Pichot, Julián Lucero) son una pareja que, estresada por el encierro de su monoambiente y la…"
EL VAMPIRO NEGRO,30/10,20:30,Cine York,https://lumiton.ar/evento/el-vampiro-negro/,"Proyección en fílmico 35 mm Esta reelaboración del clásico M, el vampiro de Düsseldorf de Fritz Lang se centra en…"
ENTRE ESPACIOS VACÍOS,31/10,18:00,Cine York,https://lumiton.ar/evento/entre-espacios-vacios/,"Se proyectarán las obras:• Entre espacios vacíos (Dir. Melina Kladniew, 10 min)• La hora de la siesta (Dir. Sofía Mora,…"
FUNCIÓN ESPECIAL: UNA LUZ EN LA VENTANA,31/10,20:30,Cine York,https://lumiton.ar/evento/funcion-especial-una-luz-en-la-ventana/,Gracias al trabajo de Archivo Lumiton se remasterizó digitalmente el primer film de terror argentino Una luz en la ventana…
ATERRADOS,1/11,18:00,Cine York,https://lumiton.ar/evento/aterrados/,"Gente que desaparece. Muertos que vuelven de sus tumbas. Voces en los drenajes de agua. El comisario Maza, será quien…"
VIVIR MATA,1/11,20:30,Cine York,https://lumiton.ar/evento/vivir-mata/,A fines del siglo XIX un joven diplomático argentino es enviado a Europa para incentivar la inmigración a la joven…
EL ESCUERZO,2/11,18:00,Cine York,https://lumiton.ar/evento/el-escuerzo/,"Argentina, 1866. En un territorio serrano, acechado por el miedo y la escasez de una guerra lejana, Venancio, un joven…"
LA BESTIA DEBE MORIR,2/11,20:30,Cine York,https://lumiton.ar/evento/la-bestia-debe-morir/,"Proyección en fílmico 35 mmCuando su hijo es atropellado por un coche, un escritor de novelas de suspenso está desesperado…"
EL RESPLANDOR (THE SHINING),17/10,,Cine York,https://lumiton.ar/evento/el-resplandor-the-shining-11/,"Jack Torrance se traslada con su mujer y su hijo de siete años al impresionante hotel Overlook, en Colorado, para…"
